serial_number,name,type,brand,model,serial_number,inventory_number,processor,ram,hard_drive,operating_system,description,status,location,notes,requirement,assigned_user_id,created_at,updated_at,,
EQP-F0937,EQP-F0937,SBS-0035,desktop,42587,Dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  240 GB.,1561515651,,Activo,DIRECCION GENERAL DE PARTICIPACION SOCIAL,administrativo,sin observacion,Ninguna,,,,"{id:'EQP-EBE8A',inventory_number:'SBS-0037',type:'desktop',assigned_user_id:'80026',brand:'Dell',model:'Inspire',processor:' Procesador I5-6400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  480 GB.',serial_number:'1561515653',status:'Activo',location:'DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION',description:'administrativo',notes:'RH',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-B83B4,EQP-B83B4,SBS-0036,desktop,80903,Dell,Inspire, Procesador I5-10400, 8 GB de Ram , Disco Solido de  240 GB.,1561515652,,Activo,DIRECCI�N DE LICITACIONES Y COSTOS,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-8B832',inventory_number:'SBS-0038',type:'desktop',assigned_user_id:'41968',brand:'Dell',model:'Inspire',processor:' Procesador E5400',ram:'  GB de Ram ',hard_drive:' Disco Duro de  160 GB Mecanico.',serial_number:'1561515654',status:'Activo',location:'DIRECCION GENERAL DE PARTICIPACION SOCIAL',description:'administrativo',notes:'sin observacion',requirement:'Disco Duro de Estado Solido de 240 GB y 4Gb de Ram',created_at:now,updated_at:now},"
EQP-EBE8A,EQP-EBE8A,SBS-0037,desktop,80026,Dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  480 GB.,1561515653,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,administrativo,RH,Ninguno,,,,"{id:'EQP-E1886',inventory_number:'SBS-0039',type:'desktop',assigned_user_id:'46813',brand:'Dell',model:'Inspire',processor:' Procesador I5-6400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515655',status:'Activo',location:'DIRECCI�N GENERAL DE INFRAESTRUCTURA SOCIAL',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-8B832,EQP-8B832,SBS-0038,desktop,41968,Dell,Inspire, Procesador E5400,  GB de Ram , Disco Duro de  160 GB Mecanico.,1561515654,,Activo,DIRECCION GENERAL DE PARTICIPACION SOCIAL,administrativo,sin observacion,Disco Duro de Estado Solido de 240 GB y 4Gb de Ram,,,,"{id:'EQP-7195E',inventory_number:'SBS-0040',type:'desktop',assigned_user_id:'26655',brand:'Dell',model:'Inspire',processor:' Procesador I5-10400',ram:' 8 GB de Ram ',hard_drive:' Disco Solido de  480 GB.',serial_number:'1561515656',status:'Activo',location:'DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION',description:'administrativo',notes:'VEHICULOS',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-E1886,EQP-E1886,SBS-0039,desktop,46813,Dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  240 GB.,1561515655,,Activo,DIRECCI�N GENERAL DE INFRAESTRUCTURA SOCIAL,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-C1F8A',inventory_number:'SBS-0041',type:'desktop',assigned_user_id:'45728',brand:'Dell',model:'Inspire',processor:' Procesador E5400',ram:' 4 GB de Ram ',hard_drive:' Disco Duro de  320 GB Mecanico.',serial_number:'1561515657',status:'Activo',location:'DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION',description:'administrativo',notes:'PROGRAMACION',requirement:'Disco Duro de Estado Solido de 240 GB',created_at:now,updated_at:now},"
EQP-7195E,EQP-7195E,SBS-0040,desktop,26655,Dell,Inspire, Procesador I5-10400, 8 GB de Ram , Disco Solido de  480 GB.,1561515656,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,administrativo,VEHICULOS,Ninguno,,,,"{id:'EQP-7FA24',inventory_number:'SBS-0042',type:'desktop',assigned_user_id:'28118',brand:'Dell',model:'Inspire',processor:' Procesador I5-10505',ram:' 8 GB de Ram ',hard_drive:' Disco Solido de  480 GB.',serial_number:'1561515658',status:'Activo',location:'DESPACHO',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-C1F8A,EQP-C1F8A,SBS-0041,desktop,45728,Dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Duro de  320 GB Mecanico.,1561515657,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,administrativo,PROGRAMACION,Disco Duro de Estado Solido de 240 GB,,,,"{id:'EQP-F5403',inventory_number:'SBS-0043',type:'desktop',assigned_user_id:'45439',brand:'Dell',model:'Inspire',processor:' Procesador E5700',ram:' 3 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515659',status:'Activo',location:'DIRECCION DE ATENCION Y GESTION AL CIUDADANO',description:'administrativo',notes:'sin observacion',requirement:'Requiere Ram para aumentar capacidad',created_at:now,updated_at:now},"
EQP-7FA24,EQP-7FA24,SBS-0042,desktop,28118,Dell,Inspire, Procesador I5-10505, 8 GB de Ram , Disco Solido de  480 GB.,1561515658,,Activo,DESPACHO,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-CF566',inventory_number:'SBS-0044',type:'desktop',assigned_user_id:'34449',brand:'Dell',model:'Inspire',processor:' Procesador I5-6400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515660',status:'Activo',location:'DIRECCI�N DE LICITACIONES Y COSTOS',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-F5403,EQP-F5403,SBS-0043,desktop,45439,Dell,Inspire, Procesador E5700, 3 GB de Ram , Disco Solido de  240 GB.,1561515659,,Activo,DIRECCION DE ATENCION Y GESTION AL CIUDADANO,administrativo,sin observacion,Requiere Ram para aumentar capacidad,,,,"{id:'EQP-79BC7',inventory_number:'SBS-0045',type:'desktop',assigned_user_id:'47847',brand:'Dell',model:'Inspire',processor:'',ram:'',hard_drive:'',serial_number:'1561515661',status:'Activo',location:'DIRECCI�N GENERAL DE INFRAESTRUCTURA SOCIAL',description:'administrativo',notes:'sin observacion',requirement:'Ninguna',created_at:now,updated_at:now},"
EQP-CF566,EQP-CF566,SBS-0044,desktop,34449,Dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  240 GB.,1561515660,,Activo,DIRECCI�N DE LICITACIONES Y COSTOS,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-53E37',inventory_number:'SBS-0046',type:'desktop',assigned_user_id:'80892',brand:'Dell',model:'Inspire',processor:' Procesador E5400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515662',status:'Activo',location:'SUBDIRECCI�N DE EVALUACI�N SOCIAL ',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-79BC7,EQP-79BC7,SBS-0045,desktop,47847,Dell,Inspire,,,,1561515661,,Activo,DIRECCI�N GENERAL DE INFRAESTRUCTURA SOCIAL,administrativo,sin observacion,Ninguna,,,,"{id:'EQP-F3226',inventory_number:'SBS-0047',type:'desktop',assigned_user_id:'42944',brand:'Dell',model:'Inspire',processor:' Procesador I5-10505',ram:' 8 GB de Ram ',hard_drive:' Disco Solido de  480 GB.',serial_number:'1561515663',status:'Activo',location:'BIENESTAR',description:'Captura',notes:'Asignado a Captura Pecera Planta Alta',requirement:'Ninguna',created_at:now,updated_at:now},"
EQP-53E37,EQP-53E37,SBS-0046,desktop,80892,Dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  240 GB.,1561515662,,Activo,SUBDIRECCI�N DE EVALUACI�N SOCIAL ,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-9767C',inventory_number:'SBS-0048',type:'desktop',assigned_user_id:'80889',brand:'Dell',model:'Inspire',processor:' Procesador E5400',ram:' 3 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515664',status:'Activo',location:'DESPACHO',description:'administrativo',notes:'sin observacion',requirement:'Requiere Ram para aumentar capacidad',created_at:now,updated_at:now},"
EQP-F3226,EQP-F3226,SBS-0047,desktop,42944,Dell,Inspire, Procesador I5-10505, 8 GB de Ram , Disco Solido de  480 GB.,1561515663,,Activo,BIENESTAR,Captura,Asignado a Captura Pecera Planta Alta,Ninguna,,,,"{id:'EQP-F06E8',inventory_number:'SBS-0049',type:'desktop',assigned_user_id:'33549',brand:'Dell',model:'Inspire',processor:' Procesador E5400',ram:' 4 GB de Ram ',hard_drive:' Disco Duro de  320 GB Mecanico.',serial_number:'1561515665',status:'Activo',location:'DIRECCI�N GENERAL DE INFRAESTRUCTURA SOCIAL',description:'administrativo',notes:'sin observacion',requirement:'Disco Duro de Estado Solido de 240 GB',created_at:now,updated_at:now},"
EQP-9767C,EQP-9767C,SBS-0048,desktop,80889,Dell,Inspire, Procesador E5400, 3 GB de Ram , Disco Solido de  240 GB.,1561515664,,Activo,DESPACHO,administrativo,sin observacion,Requiere Ram para aumentar capacidad,,,,"{id:'EQP-53D76',inventory_number:'SBS-0050',type:'desktop',assigned_user_id:'46624',brand:'Dell',model:'Inspire',processor:' Procesador E5400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515666',status:'Activo',location:'FAIS',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-F06E8,EQP-F06E8,SBS-0049,desktop,33549,Dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Duro de  320 GB Mecanico.,1561515665,,Activo,DIRECCI�N GENERAL DE INFRAESTRUCTURA SOCIAL,administrativo,sin observacion,Disco Duro de Estado Solido de 240 GB,,,,"{id:'EQP-89A60',inventory_number:'SBS-0051',type:'desktop',assigned_user_id:'33295',brand:'Dell',model:'Inspire',processor:' Procesador I5-6400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  480 GB.',serial_number:'1561515667',status:'Activo',location:'SUBDIRECCI�N DE EVALUACI�N SOCIAL ',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-53D76,EQP-53D76,SBS-0050,desktop,46624,Dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  240 GB.,1561515666,,Activo,FAIS,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-B8748',inventory_number:'SBS-0052',type:'desktop',assigned_user_id:'45079',brand:'Dell',model:'Inspire',processor:' Procesador I5-6400',ram:' 8GB de Ram ',hard_drive:' Disco Solido de 240 GB.',serial_number:'1561515668',status:'Activo',location:'SISTEMAS',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-89A60,EQP-89A60,SBS-0051,desktop,33295,Dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  480 GB.,1561515667,,Activo,SUBDIRECCI�N DE EVALUACI�N SOCIAL ,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-1BCFE',inventory_number:'SBS-0053',type:'desktop',assigned_user_id:'43183',brand:'Dell',model:'Inspire',processor:' Procesador E5400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515669',status:'Activo',location:'SUBSECRETAR�A DE INFRAESTRUCTURA SOCIAL',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-B8748,EQP-B8748,SBS-0052,desktop,45079,Dell,Inspire, Procesador I5-6400, 8GB de Ram , Disco Solido de 240 GB.,1561515668,,Activo,SISTEMAS,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-BFB75',inventory_number:'SBS-0054',type:'desktop',assigned_user_id:'23950',brand:'Dell',model:'Inspire',processor:' Procesador E4500',ram:' 4 GB de Ram ',hard_drive:' Disco Duro de  320 GB Mecanico.',serial_number:'1561515670',status:'Activo',location:'DIRECCION DE ATENCION Y GESTION AL CIUDADANO',description:'administrativo',notes:'sin observacion',requirement:'Disco Duro de Estado Solido de 240 GB',created_at:now,updated_at:now},"
EQP-1BCFE,EQP-1BCFE,SBS-0053,desktop,43183,Dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  240 GB.,1561515669,,Activo,SUBSECRETAR�A DE INFRAESTRUCTURA SOCIAL,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-ACEE8',inventory_number:'SBS-0055',type:'desktop',assigned_user_id:'33496',brand:'Dell',model:'Inspire',processor:' Procesador I5-10400',ram:' 8 GB de Ram ',hard_drive:' Disco Solido de  1TB GB.',serial_number:'1561515671',status:'Activo',location:'DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION',description:'administrativo',notes:'ADMINISTRACION',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-BFB75,EQP-BFB75,SBS-0054,desktop,23950,Dell,Inspire, Procesador E4500, 4 GB de Ram , Disco Duro de  320 GB Mecanico.,1561515670,,Activo,DIRECCION DE ATENCION Y GESTION AL CIUDADANO,administrativo,sin observacion,Disco Duro de Estado Solido de 240 GB,,,,"{id:'EQP-5E593',inventory_number:'SBS-0056',type:'desktop',assigned_user_id:'47942',brand:'Dell',model:'Inspire',processor:' Procesador ',ram:'  GB de Ram ',hard_drive:' Disco Solido de   GB.',serial_number:'1561515672',status:'Activo',location:'DIRECCI�N GENERAL DE INFRAESTRUCTURA SOCIAL',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-ACEE8,EQP-ACEE8,SBS-0055,desktop,33496,Dell,Inspire, Procesador I5-10400, 8 GB de Ram , Disco Solido de  1TB GB.,1561515671,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,administrativo,ADMINISTRACION,Ninguno,,,,"{id:'EQP-84926',inventory_number:'SBS-0057',type:'desktop',assigned_user_id:'46764',brand:'Dell',model:'Inspire',processor:' Procesador I5-10400',ram:' 8 GB de Ram ',hard_drive:' Disco Solido de  480 GB.',serial_number:'1561515673',status:'Activo',location:'DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION',description:'administrativo',notes:'ADMINISTRACION',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5E593,EQP-5E593,SBS-0056,desktop,47942,Dell,Inspire, Procesador ,  GB de Ram , Disco Solido de   GB.,1561515672,,Activo,DIRECCI�N GENERAL DE INFRAESTRUCTURA SOCIAL,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-BE997',inventory_number:'SBS-0058',type:'desktop',assigned_user_id:'45725',brand:'Dell',model:'Inspire',processor:' Procesador I5-6400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  1TB GB.',serial_number:'1561515674',status:'Activo',location:'DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION',description:'administrativo',notes:'ADMINISTRACION',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-84926,EQP-84926,SBS-0057,desktop,46764,Dell,Inspire, Procesador I5-10400, 8 GB de Ram , Disco Solido de  480 GB.,1561515673,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,administrativo,ADMINISTRACION,Ninguno,,,,"{id:'EQP-8EFCE',inventory_number:'SBS-0059',type:'desktop',assigned_user_id:'42622',brand:'Dell',model:'Inspire',processor:' Procesador I5-4590',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515675',status:'Activo',location:'DIRECCION GENERAL JURIDICA Y DE TRANSPARENCIA',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-BE997,EQP-BE997,SBS-0058,desktop,45725,Dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  1TB GB.,1561515674,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,administrativo,ADMINISTRACION,Ninguno,,,,"{id:'EQP-51172',inventory_number:'SBS-0060',type:'desktop',assigned_user_id:'43908',brand:'Dell',model:'Inspire',processor:' Procesador I5-6400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515676',status:'Activo',location:'DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION',description:'administrativo',notes:'ADMINISTRACION',requirement:'Requiere Ram para aumentar capacidad',created_at:now,updated_at:now},"
